bin_lat0,bin_lon0,n_train,a_b,phi_b,p_train
32.3,-116.0,145,0.14911691658346377,37.528125669848905,0.46053946053946054
32.7,-116.8,142,0.06262509949720052,-69.40478257936417,0.8631368631368631
32.7,-116.4,387,0.06578367269149439,58.80329691011913,0.6453546453546454
32.7,-116.0,222,0.11701676468505863,67.90850397718951,0.4945054945054945
32.7,-115.6,292,0.04073527661138936,81.7380726004927,0.8801198801198801
33.1,-117.2,213,0.07378796658662318,-172.0904448097514,0.7422577422577422
33.1,-116.8,1068,0.04846296364421413,-42.24791115994719,0.5324675324675324
33.1,-116.4,1372,0.03893713496710404,-29.34012809923493,0.5854145854145855
33.1,-116.0,274,0.08005369288009492,-106.78719454133916,0.6343656343656343
33.5,-118.4,116,0.19714574924606054,21.339316785200264,0.34865134865134867
33.5,-118.0,270,0.08708312293247782,164.07014360613613,0.5924075924075924
33.5,-117.2,515,0.087344920787953,62.768323224486515,0.35264735264735264
33.5,-116.8,1056,0.013778138699483062,-89.00930372204495,0.936063936063936
33.5,-116.4,245,0.21853178132955398,-5.910270011456893,0.04795204795204795
33.5,-116.0,123,0.1755884253271139,145.67761252997664,0.4085914085914086
33.9,-119.2,140,0.20919331911547834,76.59307312035143,0.2057942057942058
33.9,-118.8,293,0.09690641794826184,148.15533888158078,0.5024975024975025
33.9,-118.4,270,0.1635168723704512,108.65110632503263,0.16883116883116883
33.9,-118.0,305,0.1484434860297276,-178.9655497743073,0.1978021978021978
33.9,-117.6,1368,0.06877642384352652,84.31845421662311,0.20279720279720279
33.9,-117.2,1871,0.06544034050694944,-144.01681783510406,0.14385614385614387
33.9,-116.8,1176,0.08225796665124234,67.21555463856677,0.14285714285714285
33.9,-116.4,196,0.12110453241975683,-123.85209728197384,0.47952047952047955
34.3,-119.6,102,0.10000497304887708,12.317648760135981,0.7822177822177823
34.3,-119.2,174,0.20784789100396914,-139.1898932966697,0.15284715284715283
34.3,-118.8,321,0.051505353471389716,-97.14089348339282,0.8331668331668332
34.3,-118.4,108,0.15109055948174727,141.54144425737738,0.5054945054945055
34.3,-118.0,144,0.022222247113612436,-56.3145453765662,0.9790209790209791
34.3,-117.2,248,0.09937876095911638,132.9646545767759,0.5394605394605395
34.3,-116.8,154,0.1462771347898036,-62.35019492152634,0.45354645354645357
34.7,-119.6,105,0.01823110035264032,20.73007843226538,0.9920079920079921
34.7,-119.2,529,0.06730513850780497,-136.19320526621559,0.5594405594405595
34.7,-118.8,155,0.0961148627151365,146.52051849764035,0.7132867132867133
35.1,-119.2,114,0.11384905452689655,-169.74399904359362,0.7202797202797203
35.1,-118.8,768,0.03514024783382517,-42.47391802318735,0.7862137862137862
35.1,-118.4,142,0.16326680217184528,-143.73601669305344,0.36663336663336665
35.5,-118.8,224,0.14593067724062855,40.52648269744552,0.2807192807192807
35.5,-118.4,509,0.07156674988218181,124.90741209799056,0.5214785214785215
35.5,-118.0,182,0.2023497912397792,59.832906422284836,0.15884115884115885
35.5,-117.6,142,0.2198184066568764,4.623070661174046,0.1798201798201798
35.9,-118.4,143,0.06545216226007199,-160.35157203391137,0.8581418581418582
35.9,-118.0,661,0.08414422558413585,166.50056342482276,0.33166833166833165
