source,cell,cls,documented,dist_km,gate_km,gated_out,mcut,window,n_post,n_bg,lam_bg_per_day,expected,RR,p_cell,n_null,null_mean,null_p95,sig_primary_Pa,sig_secondary_Pa,sig_primary_Mw_Pa,p_familywise,p_WY_family,p_WY_within_source,p_familywise_within_source
landers,long_valley,A,True,440.8800119037442,140.0,False,1.5,5d,59,157,1.7444444444444445,8.722222222222221,6.7643312101910835,0.012332990750256937,972,1.1396044398887184,3.0250140845070406,54592.46861833644,273451.2303795755,54592.46861833644,0.9856115107913669,0.6772867420349434,0.22404933196300103,0.5971223021582733
landers,long_valley,A,True,440.8800119037442,140.0,False,1.5,1d,37,157,1.7444444444444445,1.7444444444444445,21.21019108280255,0.003083247687564234,972,1.0369612150435177,3.241287319786576,54592.46861833644,273451.2303795755,54592.46861833644,0.6896197327852004,0.14388489208633093,0.03391572456320658,0.20041109969167523
landers,long_valley,A,True,440.8800119037442,140.0,False,2.5,5d,5,13,0.14444444444444443,0.7222222222222221,6.923076923076924,0.025693730729701953,972,1.2488540715879843,4.5,54592.46861833644,273451.2303795755,54592.46861833644,0.9835560123329907,0.9260020554984584,0.44398766700924974,0.5847893114080165
landers,long_valley,A,True,440.8800119037442,140.0,False,2.5,1d,5,13,0.14444444444444443,0.14444444444444443,34.61538461538462,0.003083247687564234,972,0.9960139562229472,6.428571428571429,54592.46861833644,273451.2303795755,54592.46861833644,0.49229188078108943,0.14388489208633093,0.03391572456320658,0.1223021582733813
landers,coso,A,True,235.4888194814678,140.0,False,1.5,5d,101,105,1.1666666666666667,5.833333333333334,17.314285714285713,0.007194244604316547,972,1.2144463535946177,2.925454545454543,154608.69970078891,614061.0246764111,154608.69970078891,0.8581706063720452,0.4450154162384378,0.12435765673175746,0.3237410071942446
landers,coso,A,True,235.4888194814678,140.0,False,1.5,1d,20,105,1.1666666666666667,1.1666666666666667,17.142857142857142,0.0051387461459403904,972,1.1640310354743064,4.633289124668432,154608.69970078891,614061.0246764111,154608.69970078891,0.8581706063720452,0.302158273381295,0.07297019527235354,0.3237410071942446
landers,coso,A,True,235.4888194814678,140.0,False,2.5,5d,15,13,0.14444444444444443,0.7222222222222221,20.769230769230774,0.010718113612004287,932,1.7043176738834,9.0,154608.69970078891,614061.0246764111,154608.69970078891,0.6896197327852004,0.6187050359712231,0.19218910585817062,0.20041109969167523
landers,coso,A,True,235.4888194814678,140.0,False,2.5,1d,6,13,0.14444444444444443,0.14444444444444443,41.53846153846154,0.011789924973204717,932,1.4321596772032386,2.4949806949806854,154608.69970078891,614061.0246764111,154608.69970078891,0.4172661870503597,0.6598150051387461,0.21377183967112023,0.10277492291880781
landers,geysers,A,True,766.9891858531885,140.0,False,1.5,5d,10,206,2.2888888888888888,11.444444444444443,0.8737864077669905,0.6228160328879754,972,1.0216608990792544,1.7893757935554717,21774.814994233533,133867.48057274165,21774.814994233533,1.0,1.0,1.0,1.0
landers,geysers,A,True,766.9891858531885,140.0,False,1.5,1d,3,206,2.2888888888888888,2.2888888888888888,1.3106796116504855,0.29907502569373073,972,1.0029428074429854,2.664497041420118,21774.814994233533,133867.48057274165,21774.814994233533,1.0,1.0,0.9938335046248715,0.987667009249743
landers,geysers,A,True,766.9891858531885,140.0,False,2.5,5d,0,21,0.23333333333333334,1.1666666666666667,0.0,1.0,972,1.0465310816557203,3.3749999999999996,21774.814994233533,133867.48057274165,21774.814994233533,1.0,1.0,1.0,1.0
landers,geysers,A,True,766.9891858531885,140.0,False,2.5,1d,0,21,0.23333333333333334,0.23333333333333334,0.0,1.0,972,0.9701695770728032,5.625,21774.814994233533,133867.48057274165,21774.814994233533,1.0,1.0,1.0,1.0
landers,yellowstone,A,True,1252.9213806892776,140.0,False,1.5,5d,4,4,0.044444444444444446,0.22222222222222224,18.0,0.0051387461459403904,972,1.2921015417449422,6.357857142857134,9641.6435455507,71077.39166349157,9641.6435455507,0.8571428571428571,0.302158273381295,0.07297019527235354,0.3237410071942446
landers,yellowstone,A,True,1252.9213806892776,140.0,False,1.5,1d,4,4,0.044444444444444446,0.044444444444444446,90.0,0.0010277492291880781,972,1.143217745039571,7.3349999999999795,9641.6435455507,71077.39166349157,9641.6435455507,0.24357656731757452,0.0010277492291880781,0.0010277492291880781,0.051387461459403906
landers,yellowstone,A,True,1252.9213806892776,140.0,False,2.5,5d,0,0,0.0,0.0,,,549,1.2153005464480875,6.0,9641.6435455507,71077.39166349157,9641.6435455507,,,,
landers,yellowstone,A,True,1252.9213806892776,140.0,False,2.5,1d,0,0,0.0,0.0,,,549,0.3989071038251366,0.0,9641.6435455507,71077.39166349157,9641.6435455507,,,,
landers,salton_brawley,A,False,144.73568385832397,140.0,False,1.5,5d,4,48,0.5333333333333333,2.6666666666666665,1.5,0.24049331963001028,972,1.1462287760458478,3.857142857142857,346855.90168175596,1150563.6889673285,346855.90168175596,1.0,1.0,0.9835560123329907,0.9804727646454265
landers,salton_brawley,A,False,144.73568385832397,140.0,False,1.5,1d,1,48,0.5333333333333333,0.5333333333333333,1.875,0.17574511819116137,972,1.122943536498799,5.366310160427797,346855.90168175596,1150563.6889673285,346855.90168175596,1.0,1.0,0.9640287769784173,0.9588900308324769
landers,salton_brawley,A,False,144.73568385832397,140.0,False,2.5,5d,2,3,0.03333333333333333,0.16666666666666666,12.0,0.04303510758776897,882,1.7016697588126162,8.0,346855.90168175596,1150563.6889673285,346855.90168175596,0.920863309352518,0.9845837615621789,0.6258992805755396,0.3987667009249743
landers,salton_brawley,A,False,144.73568385832397,140.0,False,2.5,1d,0,3,0.03333333333333333,0.03333333333333333,0.0,1.0,882,2.053733398121153,0.0,346855.90168175596,1150563.6889673285,346855.90168175596,1.0,1.0,1.0,1.0
landers,lassen,B,True,830.9666570899155,140.0,False,1.5,5d,7,0,0.0,0.0,,,972,1.5862889123101542,8.0,19063.201605154783,120723.09725618914,19063.201605154783,,,,
landers,lassen,B,True,830.9666570899155,140.0,False,1.5,1d,5,0,0.0,0.0,,,972,1.232198357198357,0.0,19063.201605154783,120723.09725618914,19063.201605154783,,,,
landers,lassen,B,True,830.9666570899155,140.0,False,2.5,5d,2,0,0.0,0.0,,,354,0.211864406779661,0.0,19063.201605154783,120723.09725618914,19063.201605154783,,,,
landers,lassen,B,True,830.9666570899155,140.0,False,2.5,1d,2,0,0.0,0.0,,,354,0.2542372881355932,0.0,19063.201605154783,120723.09725618914,19063.201605154783,,,,
landers,mono_west_nv_mina,B,True,491.60068337954743,140.0,False,1.5,5d,3,1,0.011111111111111112,0.05555555555555556,53.99999999999999,0.0018050541516245488,553,0.7486437613019892,0.0,45564.63544752826,237614.59556929176,45564.63544752826,0.31449126413155193,0.0010277492291880781,0.0010277492291880781,0.07399794450154162
landers,mono_west_nv_mina,B,True,491.60068337954743,140.0,False,1.5,1d,1,1,0.011111111111111112,0.011111111111111112,90.0,0.009025270758122744,553,0.786618444846293,0.0,45564.63544752826,237614.59556929176,45564.63544752826,0.24357656731757452,0.5200411099691675,0.15210688591983557,0.051387461459403906
landers,mono_west_nv_mina,B,True,491.60068337954743,140.0,False,2.5,5d,3,1,0.011111111111111112,0.05555555555555556,53.99999999999999,0.002044989775051125,488,0.6639344262295082,0.0,45564.63544752826,237614.59556929176,45564.63544752826,0.31449126413155193,0.0010277492291880781,0.0010277492291880781,0.07399794450154162
landers,mono_west_nv_mina,B,True,491.60068337954743,140.0,False,2.5,1d,1,1,0.011111111111111112,0.011111111111111112,90.0,0.0081799591002045,488,0.7069672131147541,0.0,45564.63544752826,237614.59556929176,45564.63544752826,0.24357656731757452,0.4789311408016444,0.13566289825282632,0.051387461459403906
landers,little_skull_mtn,B,True,289.59650178787035,140.0,False,1.5,5d,11,0,0.0,0.0,,,535,0.7066203469402891,3.5999999999999996,109680.06932681125,470261.94807158026,109680.06932681125,,,,
landers,little_skull_mtn,B,True,289.59650178787035,140.0,False,1.5,1d,3,0,0.0,0.0,,,535,1.1561101195145493,0.5744680851062959,109680.06932681125,470261.94807158026,109680.06932681125,,,,
landers,little_skull_mtn,B,True,289.59650178787035,140.0,False,2.5,5d,11,0,0.0,0.0,,,445,0.625607455117016,3.515294117647039,109680.06932681125,470261.94807158026,109680.06932681125,,,,
landers,little_skull_mtn,B,True,289.59650178787035,140.0,False,2.5,1d,3,0,0.0,0.0,,,445,1.0035933802358126,0.0,109680.06932681125,470261.94807158026,109680.06932681125,,,,
landers,cedar_city_ut,B,True,487.15456757852826,140.0,False,1.5,5d,34,3,0.03333333333333333,0.16666666666666666,204.0,0.001141552511415525,875,1.3010461844775434,6.0,46257.03165747965,240415.83308144315,46257.03165747965,0.025693730729701953,0.0010277492291880781,0.0010277492291880781,0.006166495375128468
landers,cedar_city_ut,B,True,487.15456757852826,140.0,False,1.5,1d,30,3,0.03333333333333333,0.03333333333333333,900.0,0.001141552511415525,875,1.2619026687598118,0.0,46257.03165747965,240415.83308144315,46257.03165747965,0.003083247687564234,0.0010277492291880781,0.0010277492291880781,0.0010277492291880781
