source,cell,cls,documented,measurable,dist_km,lam_bg_per_day,expected_5d,crit_RR,R_min_80pct,sig_primary_kPa,sig_secondary_kPa,dTau_min_kPa_Asigma0.03,R_pred_primary_Asigma0.03,power_primary_Asigma0.03,R_pred_secondary_Asigma0.03,power_secondary_Asigma0.03,dTau_min_kPa_Asigma0.10,R_pred_primary_Asigma0.10,power_primary_Asigma0.10,R_pred_secondary_Asigma0.10,power_secondary_Asigma0.10,dTau_min_kPa_Asigma0.15,R_pred_primary_Asigma0.15,power_primary_Asigma0.15,R_pred_secondary_Asigma0.15,power_secondary_Asigma0.15
landers,long_valley,A,True,True,440.8800119037442,1.7444444444444445,8.722222222222221,3.0250140845070406,3.650000000000002,54.59246861833644,273.4512303795755,38.84181502783203,6.1703092236366075,1.0,9091.007459447279,1.0,129.4727167594401,1.7262038414551342,0.0095,15.402229994834505,1.0,194.20907513916012,1.4390019611909504,0.00075,6.1904526035584935,1.0
landers,coso,A,True,True,235.4888194814678,1.1666666666666667,5.833333333333334,2.925454545454543,3.7000000000000024,154.60869970078892,614.0610246764111,39.24998458950538,173.05739861296217,1.0,775253648.8019443,1.0,130.83328196501793,4.693070208723158,0.9755,464.3368444738797,1.0,196.2499229475269,2.8030964038052115,0.4215,59.963747093928745,1.0
landers,geysers,A,True,True,766.9891858531885,2.2888888888888888,11.444444444444443,1.7893757935554717,2.200000000000001,21.774814994233534,133.86748057274164,23.65372081092812,2.066439682854959,0.74,86.6822689442745,1.0,78.84573603642706,1.2432739095804615,0.06575,3.8139858826927346,1.0,118.26860405464059,1.1562308335233735,0.03975,2.441102717181037,0.912
landers,yellowstone,A,True,True,1252.9213806892776,0.044444444444444446,0.22222222222222224,6.357857142857134,14.75,9.6416435455507,71.07739166349157,80.73729248357488,1.3790407078173827,0.0765,10.689333646215008,0.6725,269.1243082785829,1.1012175545554337,0.06225,2.0355660076006967,0.13775,403.68646241787434,1.0663884122989087,0.06025,1.6061648840081924,0.0935
landers,salton_brawley,A,False,True,144.73568385832397,0.5333333333333333,2.6666666666666665,3.857142857142857,5.25,346.85590168175594,1150.5636889673285,49.74684229810597,105015.51597277529,1.0,4.5301791114869176e+16,1.0,165.82280766035325,32.09046728822028,1.0,99273.79219531706,1.0,248.73421149052987,10.098356399463016,0.9995,2143.9915760793865,1.0
landers,lassen,,,False,,,,,,,,,,,,,,,,,,,,,,
landers,mono_west_nv_mina,B,True,False,491.60068337954743,0.011111111111111112,0.05555555555555556,0.0,,45.564635447528254,237.61459556929177,,4.566838547444816,0.14325,2753.1101602883623,0.62125,,1.577192479067098,0.05075,10.763340432731784,0.28225,,1.3549495705283818,0.0505,4.874888848076329,0.149
landers,little_skull_mtn,,,False,,,,,,,,,,,,,,,,,,,,,,
landers,cedar_city_ut,B,True,True,487.15456757852826,0.03333333333333333,0.16666666666666666,6.0,18.5,46.25703165747965,240.41583308144317,87.53312196252837,4.6734663490929735,0.29075,3022.56504558245,0.9535,291.77707320842785,1.5881507937138668,0.0965,11.069109831711645,0.6065,437.6656098126419,1.36121844085294,0.08625,4.966782372770686,0.31025
landers,smith_valley_nv,,,False,,,,,,,,,,,,,,,,,,,,,,
