lat,lon,n,Pm_over_P0,thr97.5,significant,p
33.1,-116.50000000000001,106,0.12923015313498745,0.3753362242233139,False,0.6453546453546454
33.300000000000004,-116.30000000000001,529,0.17754115268928164,0.16363424382710515,True,0.014985014985014986
33.300000000000004,-116.10000000000001,109,0.14442166730023587,0.37386435994906336,False,0.5294705294705294
33.5,-116.70000000000002,253,0.14246384635542061,0.23376579567241437,False,0.26873126873126874
33.5,-116.50000000000001,1107,0.056490830252274256,0.12050260953572597,False,0.40559440559440557
33.7,-116.9,147,0.14522183760429444,0.325241414959665,False,0.46353646353646355
33.7,-116.70000000000002,1642,0.0530377639923197,0.09504515147770876,False,0.2957042957042957
33.900000000000006,-117.10000000000001,184,0.18736759554364615,0.29270401483393965,False,0.2137862137862138
33.900000000000006,-116.9,596,0.05390886893358769,0.1592222554787855,False,0.6473526473526473
33.900000000000006,-116.70000000000002,521,0.04417101604498366,0.17211846757568117,False,0.7662337662337663
34.1,-117.50000000000001,173,0.2524606487354449,0.2929146039535969,False,0.06493506493506493
34.1,-117.30000000000001,336,0.1309949284095155,0.21117524428137466,False,0.23976023976023977
34.1,-117.10000000000001,166,0.2592863343692301,0.29064812726835715,False,0.057942057942057944
34.1,-116.9,311,0.08131759786464723,0.20947950532698525,False,0.5974025974025974
34.1,-116.70000000000002,300,0.0946499861304002,0.217968118536536,False,0.4755244755244755
34.300000000000004,-117.50000000000001,150,0.12114824889034355,0.3202569238899183,False,0.6053946053946054
36.1,-117.9,156,0.21759812878684354,0.29264119758483687,False,0.13986013986013987
36.1,-117.70000000000002,107,0.16846429231803872,0.33950995309027926,False,0.44255744255744256
