lat,lon,n,Pm_over_P0,thr97.5,significant,p
32.7,-115.9,122,0.15384492130786193,0.3408578213087477,False,0.46253746253746253
32.900000000000006,-116.30000000000001,230,0.06643417264734082,0.25968298907552456,False,0.7752247752247752
32.900000000000006,-115.50000000000001,204,0.15626281049408844,0.25812525436619804,False,0.2897102897102897
33.1,-116.50000000000001,282,0.049436354785418676,0.22582300269827343,False,0.8331668331668332
33.1,-116.30000000000001,157,0.14120592438730345,0.31120584049655753,False,0.4785214785214785
33.1,-116.10000000000001,218,0.04750801907572408,0.25653266833861027,False,0.8761238761238761
33.1,-115.9,138,0.1537851380636911,0.32011140456056003,False,0.44955044955044954
33.300000000000004,-116.9,150,0.22821728779077396,0.3123890891115679,False,0.15584415584415584
33.300000000000004,-116.70000000000002,114,0.25814840004295253,0.3487725967212939,False,0.14785214785214784
33.300000000000004,-116.50000000000001,112,0.20203307723491298,0.3564239515932854,False,0.34965034965034963
33.300000000000004,-116.30000000000001,1013,0.06686319309746803,0.12214491179688698,False,0.32967032967032966
33.300000000000004,-116.10000000000001,363,0.0678517280242893,0.20509637044480367,False,0.6483516483516484
33.300000000000004,-115.70000000000002,114,0.08514613558330894,0.34140319504570515,False,0.8181818181818182
33.5,-116.9,140,0.13745299531583435,0.3223213670278995,False,0.5264735264735265
33.5,-116.70000000000002,188,0.13485245593113102,0.2825193672048376,False,0.44255744255744256
33.5,-116.50000000000001,1107,0.08993781145176716,0.11744602339039174,False,0.1088911088911089
33.7,-116.9,205,0.060003486396759946,0.25335411764996296,False,0.8251748251748252
33.7,-116.70000000000002,802,0.16173616127853235,0.13397541165824567,True,0.003996003996003996
33.7,-116.10000000000001,193,0.1840589785715735,0.27124907595986986,False,0.1938061938061938
33.900000000000006,-118.70000000000002,100,0.1364302841343332,0.38770176505884396,False,0.6153846153846154
33.900000000000006,-118.50000000000001,132,0.17513713407198298,0.3210242861984719,False,0.33266733266733267
33.900000000000006,-118.30000000000001,165,0.07028045142309691,0.29581017963447687,False,0.8251748251748252
33.900000000000006,-117.9,161,0.2139938765286771,0.2852630256107716,False,0.14785214785214784
33.900000000000006,-117.70000000000002,257,0.1077569899617329,0.23886775758945686,False,0.46053946053946054
33.900000000000006,-117.10000000000001,386,0.09411677591000493,0.19564611258442044,False,0.4385614385614386
33.900000000000006,-116.9,869,0.06620545379079296,0.1260702485978775,False,0.3876123876123876
33.900000000000006,-116.70000000000002,732,0.09632461181493102,0.138127731951839,False,0.17882117882117882
33.900000000000006,-116.50000000000001,108,0.1286014259042713,0.36800722900170496,False,0.6013986013986014
33.900000000000006,-116.30000000000001,149,0.2663733691167269,0.3185486051632656,False,0.06293706293706294
34.1,-118.30000000000001,105,0.05301264366307748,0.37659701446793636,False,0.935064935064935
34.1,-117.70000000000002,124,0.16005487363225987,0.32915126756560364,False,0.45854145854145856
34.1,-117.50000000000001,416,0.07546356576642312,0.18412976101638517,False,0.5514485514485514
34.1,-117.30000000000001,808,0.04517663715708048,0.13218815413882104,False,0.6683316683316683
34.1,-117.10000000000001,549,0.07428347660007525,0.16270269407411048,False,0.48451548451548454
34.1,-116.9,563,0.03922872052890053,0.15913564440327413,False,0.8091908091908092
34.1,-116.70000000000002,551,0.02838143455282084,0.16426962747311272,False,0.9070929070929071
34.1,-116.50000000000001,104,0.05307411156391158,0.37809845143677573,False,0.9240759240759241
34.300000000000004,-118.50000000000001,156,0.1186571570035602,0.31202049027131123,False,0.5774225774225774
34.300000000000004,-117.70000000000002,107,0.29110795731651207,0.36270878645420646,False,0.10589410589410589
34.300000000000004,-117.50000000000001,368,0.1013368135401655,0.20124953713922142,False,0.3776223776223776
34.300000000000004,-117.10000000000001,255,0.1321128314614184,0.2478509801754102,False,0.32367632367632365
34.300000000000004,-116.9,273,0.08898287665718854,0.2389404259514703,False,0.5814185814185814
34.5,-118.70000000000002,119,0.12006083467903085,0.355073350362215,False,0.5974025974025974
34.900000000000006,-119.10000000000001,179,0.18553274967377148,0.27113845943016524,False,0.22477522477522477
34.900000000000006,-118.9,139,0.29926529712185373,0.33869498608765464,False,0.05094905094905095
35.1,-119.10000000000001,154,0.07123635621852509,0.30347325288305793,False,0.8281718281718282
35.1,-118.9,126,0.1298735741315905,0.3357826956452496,False,0.5914085914085914
35.1,-118.70000000000002,133,0.23243161870885723,0.334636600870581,False,0.18681318681318682
35.300000000000004,-118.70000000000002,139,0.04927625412796516,0.3193628457945504,False,0.9270729270729271
35.300000000000004,-118.50000000000001,500,0.03918663681032612,0.1652409919218665,False,0.8321678321678322
35.5,-118.50000000000001,143,0.18108762180988697,0.30884549490274177,False,0.2987012987012987
35.5,-118.30000000000001,231,0.2137311712054,0.25276490393109025,False,0.07592407592407592
35.7,-118.50000000000001,141,0.13764960953426025,0.31918790881780795,False,0.5054945054945055
35.7,-118.30000000000001,130,0.03720849117105527,0.33659997346573034,False,0.9590409590409591
35.7,-118.10000000000001,252,0.11438003430183544,0.24146038189771948,False,0.4595404595404595
35.7,-117.50000000000001,116,0.16074428087119327,0.3523019947523856,False,0.45854145854145856
35.900000000000006,-117.9,123,0.2769227494383341,0.34874042443205744,False,0.11288711288711288
35.900000000000006,-117.70000000000002,249,0.09242981894704262,0.23738657771493446,False,0.5844155844155844
36.1,-117.9,339,0.0829286773447012,0.20581139541224955,False,0.5644355644355644
36.1,-117.70000000000002,194,0.11633527194119021,0.2575339117683335,False,0.5094905094905094
